因子名,因子逻辑,计算公式（算子形式）,算子及口径说明
MiddleSessionMomentum,分别计算10:00至11:30和13:00至14:30的时段收益率，再进行复合。,"SUB(MUL(ADD(1,PERIOD_RETURN(10:00,11:30)),ADD(1,PERIOD_RETURN(13:00,14:30))),1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。PERIOD_RETURN(a,b)=SUB(DIV(LAST(TIME_FILTER(close,a,b)),FIRST(TIME_FILTER(open,a,b))),1)；TIME_FILTER包含两端；FIRST/LAST按位置取首尾，不跳过NaN；时段无记录返回NaN。"
MinuteAmihudIlliquidity,分钟绝对收益率除以对应分钟成交额，在日内求均值。,"MEAN(DIV(ABS(r),REPLACE(money,0,NaN)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。money为成交额；REPLACE将指定值替换，成交额为0的记录不计入均值；代码未统一清除收益率中的无穷值，也未过滤负成交额。"
MinutePriceLaggingVolumeCorrelation,"当前分钟收盘价与下一条分钟成交量的Pearson相关系数，即CORR(close_t,volume_(t+1))。","CORR(close,SHIFT(volume,-1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
MinutePriceLeadingVolumeCorrelation,"当前分钟收盘价与上一条分钟成交量的Pearson相关系数，即CORR(close_t,volume_(t-1))。","CORR(close,SHIFT(volume,1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
MinutePriceVolumeChangeCorrelation,分钟收盘价与同期成交量变化率的Pearson相关系数。,"CORR(close,CLEAN(PCT_CHANGE(volume,1)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
MinutePriceVolumeCorrelation,分钟收盘价与同期成交量的Pearson相关系数。,"CORR(close,volume)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
MinuteQRS,滚动50条K线计算high对low的回归斜率beta与相关系数平方R²，取beta乘R²的日内均值。,"b=DIV(TS_COV(low,high,50,ddof=0),TS_VAR(low,50,ddof=0)); c=TS_CORR(low,high,50); s=AND(ISFINITE(b),ISFINITE(c)); MEAN(CLEAN(FILTER(MUL(b,POW(c,2)),s)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TS_COV/TS_VAR/TS_CORR为日内向后滚动的协方差/方差/Pearson相关系数；窗口50条且min_periods=50，协方差和方差使用ddof=0；等价于带截距的high对low回归斜率。ISFINITE判断非缺失且非无穷，AND为且；各统计只保留beta和相关系数均有限的窗口；无有效窗口返回NaN；窗口不跨日，50条不一定等于50个自然分钟。LAST取最后一个有效窗口的值；STD(ddof=1)为样本标准差，少于2个有效窗口或标准差为0时标准分为NaN；EQ为等于。"
MinuteRangeStd,日内各分钟最高价除以最低价减1的样本标准差。,"STD(CLEAN(SUB(DIV(high,low),1)),ddof=1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。STD为样本标准差，分母为有效样本数减1，少于2个有效值为NaN。"
MinuteReturnKurtosis,日内分钟收益率序列的超额峰度。,KURT_EXCESS(r),"按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。未显式将收益率正负无穷替换为NaN。"
MinuteReturnSkewKurtosisRatio,日内分钟收益率序列的偏度与超额峰度之比。,"x=r; k=KURT_EXCESS(x); IF(EQ(k,0),NaN,DIV(SKEW(x),k))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。未显式将收益率正负无穷替换为NaN。"
MinuteReturnSkewness,日内分钟收益率序列的偏度。,SKEW(r),"按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。未显式将收益率正负无穷替换为NaN。"
MinuteReturnStd,日内分钟收益率的样本标准差。,"STD(CLEAN(r),ddof=1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。STD为样本标准差，分母为有效样本数减1，少于2个有效值为NaN。"
MinuteReturnVolumeChangeCorrelation,分钟收益率与同期成交量变化率的Pearson相关系数。,"CORR(r,CLEAN(PCT_CHANGE(volume,1)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
